@relation RNA
@attribute Feature1 real
@attribute Feature2 real
@attribute Feature3 real
@attribute Feature4 real
@attribute Feature5 real
@attribute Feature6 real
@attribute Feature7 real
@attribute Feature8 real
@attribute Feature9 real
@attribute Feature10 real
@attribute Feature11 real
@attribute Feature12 real
@attribute Feature13 real
@attribute Feature14 real
@attribute Feature15 real
@attribute Feature16 real
@attribute Feature17 real
@attribute Feature18 real
@attribute Feature19 real
@attribute class20 {0,1}
@attribute class19 {0,1}
@attribute class26 {0,1}
@data
0.05563798,0.02696739,0.02895446,0.03505761,0.03278667,0.0177417,0.00667088,0.02938026,0.0303738,0.01830944,0.01830944,0.02526419,0.02781899,0.02356098,0.03832208,0.02867059,0.215872,0.16959946,0.17070207,1,1,0
0.066884,0.02877133,0.02970546,0.04297017,0.0354971,0.01774855,0.0048575,0.02615575,0.03157373,0.01475932,0.01363836,0.02466114,0.03456296,0.0229797,0.0362444,0.02746354,0.213297,0.16258851,0.16564148,1,1,0
0.04484111,0.02234243,0.0310138,0.03710719,0.03156064,0.02054567,0.00257797,0.0314044,0.02804522,0.01617092,0.01851453,0.03218561,0.03093568,0.02702966,0.04273186,0.04374742,0.20630704,0.16272078,0.17021805,1,1,0
0.05628544,0.02679546,0.02859181,0.03442992,0.03278328,0.01781374,0.00703568,0.02919059,0.0288912,0.01871192,0.01811313,0.02544821,0.02814272,0.02350217,0.03742383,0.02859181,0.21691353,0.17007257,0.171263,1,1,0
0.04365368,0.02226338,0.03274026,0.04539982,0.02837489,0.01396918,0.00218268,0.03666909,0.0379787,0.0130961,0.01396918,0.02750182,0.03361333,0.03186718,0.04365368,0.04758251,0.20209214,0.15671772,0.16667467,1,1,0
0.04842661,0.02187008,0.03124298,0.04764554,0.02968083,0.01444988,0.00195269,0.03397674,0.03592942,0.01288773,0.0136688,0.0273376,0.03475781,0.03085244,0.04295909,0.04842661,0.20188536,0.15642676,0.16562304,1,1,0
0.0382711,0.02645209,0.03630127,0.03179878,0.03967813,0.03236159,0.00225124,0.04052234,0.03433143,0.0216682,0.02054258,0.02054258,0.02082398,0.03433143,0.03770829,0.03320581,0.19790277,0.16633782,0.16496856,1,1,0
0.03247795,0.02588822,0.03263485,0.01992608,0.03090896,0.03938147,0.01474844,0.02824169,0.02949688,0.02667271,0.02902618,0.01521913,0.0182002,0.02133817,0.02384854,0.0182002,0.21759145,0.19133794,0.18486092,1,1,0
0.03440093,0.02656982,0.03188379,0.0173403,0.03188379,0.04530854,0.01510285,0.02712919,0.02489173,0.02489173,0.0268495,0.0173403,0.01929808,0.02265427,0.01985745,0.02181522,0.21947418,0.19212076,0.18118757,1,1,0
0.06381659,0.02970155,0.03638142,0.04532767,0.04055634,0.01371759,0.00333993,0.02636162,0.04079491,0.01276332,0.01192833,0.0221867,0.0300594,0.02779302,0.03602357,0.03602357,0.20291515,0.16057692,0.15973238,1,1,0
