@relation RNA
@attribute Feature1 real
@attribute Feature2 real
@attribute Feature3 real
@attribute Feature4 real
@attribute Feature5 real
@attribute Feature6 real
@attribute Feature7 real
@attribute Feature8 real
@attribute Feature9 real
@attribute Feature10 real
@attribute Feature11 real
@attribute Feature12 real
@attribute Feature13 real
@attribute Feature14 real
@attribute Feature15 real
@attribute Feature16 real
@attribute Feature17 real
@attribute Feature18 real
@attribute Feature19 real
@attribute class1 {0,1}
@attribute class2 {0,1}
@attribute class3 {0,1}
@attribute class4 {0,1}
@attribute class37 {0,1}
@attribute class5 {0,1}
@attribute class16 {0,1}
@attribute class7 {0,1}
@attribute class9 {0,1}
@attribute class12 {0,1}
@attribute class17 {0,1}
@attribute class23 {0,1}
@attribute class8 {0,1}
@attribute class24 {0,1}
@attribute class32 {0,1}
@attribute class34 {0,1}
@attribute class35 {0,1}
@attribute class38 {0,1}
@attribute class39 {0,1}
@data
0.03871694,0.02482613,0.03517035,0.02453058,0.03517035,0.01891515,0.00916202,0.02985046,0.0336926,0.0192107,0.02187064,0.02837272,0.01566411,0.03014601,0.03694364,0.036057,0.21925732,0.16995194,0.17249134,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.05663211,0.02381123,0.03217733,0.04461924,0.03282088,0.01308545,0.00536289,0.02166607,0.03367894,0.01694673,0.01952092,0.02230962,0.03432249,0.01887737,0.03539507,0.04376117,0.20582996,0.1676741,0.17150844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.03552954,0.02597278,0.03337156,0.02990338,0.03529832,0.02651228,0.00709049,0.02944096,0.03136773,0.02134855,0.02674349,0.02273582,0.02258168,0.02450844,0.03499004,0.03236964,0.21086158,0.17794111,0.17143259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.04569623,0.02686087,0.0357053,0.03324851,0.03521394,0.01736129,0.00868065,0.02555058,0.03898102,0.02063701,0.02325758,0.01785265,0.02161972,0.02194729,0.03308473,0.02899008,0.21321153,0.17574377,0.17635724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.04447666,0.0241513,0.03515091,0.03144452,0.03419442,0.0208036,0.00884751,0.02797725,0.03515091,0.02116228,0.02367306,0.02044492,0.0214014,0.0257056,0.03275969,0.03000979,0.2110318,0.17749892,0.17411546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.03839903,0.02405214,0.03021286,0.03012847,0.03071922,0.02076079,0.01071797,0.02557122,0.02962211,0.0220267,0.02261745,0.02244866,0.02413653,0.02092958,0.03308224,0.03823024,0.21853817,0.18106066,0.17674596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.03884328,0.0292732,0.02683376,0.02552022,0.03527796,0.03086821,0.01144657,0.03255705,0.02289314,0.02148578,0.0246758,0.0223302,0.02354991,0.0285226,0.02833495,0.02270549,0.22040219,0.1776429,0.17683677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.05252549,0.02228928,0.0359126,0.0326203,0.0308417,0.01892129,0.00771989,0.02758724,0.03458811,0.02028362,0.02081342,0.02270554,0.02543021,0.02353808,0.03394479,0.03731278,0.20817575,0.17698105,0.16780888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.05263395,0.02226673,0.03597229,0.03267067,0.03067434,0.0185812,0.00767818,0.02767985,0.03485895,0.0202704,0.02096144,0.02265064,0.02541479,0.02349524,0.03409113,0.03743114,0.20795956,0.17693695,0.16777255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.05207558,0.02220104,0.03568556,0.0323703,0.03061955,0.01888578,0.00785976,0.0276768,0.03434456,0.02052478,0.02093453,0.02272254,0.02533004,0.02339304,0.03404656,0.03713831,0.20872854,0.17718487,0.16827786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.04164743,0.02468618,0.03257904,0.03291491,0.02972418,0.01679332,0.00520593,0.02804484,0.02888451,0.01948025,0.02989211,0.02401445,0.03157144,0.01880852,0.03459424,0.03912844,0.21084141,0.17371206,0.17747674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.04405781,0.02328258,0.03175983,0.03593876,0.03116284,0.01868577,0.0054326,0.03020766,0.02937187,0.02107372,0.02089463,0.02292439,0.03050615,0.0224468,0.03611785,0.04334142,0.20766969,0.1721045,0.17302112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.05044244,0.02477198,0.03260147,0.03465511,0.03516852,0.01976625,0.00693102,0.02810914,0.03195971,0.02079306,0.02104977,0.01938119,0.02502869,0.02464363,0.03260147,0.03786391,0.20675432,0.1759482,0.17153011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.0307768,0.02538136,0.03275259,0.02963692,0.03336053,0.02963692,0.0076752,0.02963692,0.03054882,0.02180973,0.0269012,0.02294961,0.02393751,0.02348156,0.03480438,0.03206867,0.21155406,0.18323081,0.16985641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
